"site","Latitude","Longitude","o3","year"
"Exeter Roadside",50.725083,-3.532465,48.869287,1997
"Glazebury",53.46008,-2.472056,32.862202,1997
"Harwell",51.571078,-1.325283,48.198675,1997
"London Haringey",51.58603,-0.126486,27.635487,1997
"London Hillingdon",51.49633,-0.460861,19.537509,1997
"London Hackney",51.55877,-0.056592,27.168067,1997
"High Muffles",54.334497,-0.80882,53.081056,1997
"Hull Centre",53.74479,-0.338322,31.300122,1997
"London N. Kensington",51.52105,-0.213492,25.517185,1997
"Ladybower",53.40337,-1.752006,52.493123,1997
"Leamington Spa",52.28881,-1.533119,35.932761,1997
"Leeds Centre",53.80378,-1.546472,25.92113,1997
"Leicester Centre",52.631348,-1.133006,32.498818,1997
"Lullington Heath",50.7937,0.18125,57.50578,1997
"Liverpool Centre",53.40845,-2.980249,31.026369,1997
"London Eltham",51.45258,0.070766,34.264648,1997
"London Lewisham",51.44541,-0.020139,23.271927,1997
"Manchester Piccadilly",53.48152,-2.237881,24.796642,1997
"Manchester South",53.369026,-2.24328,25.679889,1997
"Middlesbrough",54.569297,-1.220874,38.21364,1997
"London Marylebone Road",51.52253,-0.154611,10.887614,1997
"Newcastle Centre",54.97825,-1.610528,33.025433,1997
"Norwich Centre",52.63203,1.295019,26.690761,1997
"Nottingham Centre",52.95473,-1.146447,25.855706,1997
"Sandwell Oldbury",52.50431,-2.017629,26.596235,1997
"Narberth",51.782616,-4.69237,59.686073,1997
"Plymouth Centre",50.37167,-4.142361,24.652111,1997
"Port Talbot",51.5798,-3.76169,46.222307,1997
"Reading",51.45352,-0.95518,24.329563,1997
"Redcar",54.610735,-1.0733,39.616271,1997
"Rochester Stoke",51.45617,0.634889,47.409174,1997
"Rotherham Centre",53.43186,-1.354444,25.267513,1997
"Sheffield Centre",53.37772,-1.473306,30.205194,1997
"Sibton",52.2944,1.463497,50.691881,1997
"London Southwark",51.49055,-0.096667,32.007331,1997
"Somerton",51.03572,-2.735253,52.42093,1997
"Southampton Centre",50.908173,-1.395757,30.539154,1997
"Stoke-on-Trent Centre",53.02821,-2.175133,40.350991,1997
"London Sutton",51.36789,-0.165489,30.295293,1997
"Swansea",51.62114,-3.943329,38.165157,1997
"London Teddington",51.42099,-0.339647,40.096399,1997
"Thurrock",51.47707,0.317969,34.109555,1997
"London Wandsworth",51.45696,-0.191164,21.424743,1997
"Wicken Fen",52.2985,0.290917,22.697156,1997
"Wolverhampton Centre",52.58818,-2.129008,31.895699,1997
"Yarner Wood",50.5976,-3.71651,53.230095,1997
"Aston Hill",52.50385,-3.034178,62.044908,1998
"Barnsley Gawber",53.56292,-1.510436,45.991513,1998
"London Bexley",51.46603,0.184806,36.579294,1998
"Birmingham East",52.49763,-1.831498,34.078395,1998
"Birmingham Centre",52.479724,-1.908078,35.202445,1998
"Bolton",53.57232,-2.439583,38.092102,1998
"Bottesford",52.93028,-0.814722,45.147245,1998
"Bradford Centre",53.79339,-1.748694,26.260923,1998
"London Brent",51.589769,-0.276223,34.757727,1998
"London Bridge Place",51.49521,-0.141655,26.873618,1998
"Bristol Centre",51.45718,-2.585622,38.628385,1998
"Bury Roadside",53.53911,-2.289611,15.798257,1998
"Cardiff Centre",51.48178,-3.17625,34.378435,1998
"London Bloomsbury",51.52229,-0.125889,20.596629,1998
"Coventry Centre",52.41345,-1.522133,30.606916,1998
"Salford Eccles",53.48481,-2.334139,32.447003,1998
"Glazebury",53.46008,-2.472056,38.029415,1998
"Harwell",51.571078,-1.325283,51.626718,1998
"London Haringey",51.58603,-0.126486,30.339863,1998
"London Hillingdon",51.49633,-0.460861,23.274579,1998
"London Hackney",51.55877,-0.056592,27.309091,1998
"High Muffles",54.334497,-0.80882,56.339078,1998
"Hull Centre",53.74479,-0.338322,35.180079,1998
"London N. Kensington",51.52105,-0.213492,30.523627,1998
"Ladybower",53.40337,-1.752006,54.457081,1998
"Leamington Spa",52.28881,-1.533119,39.542999,1998
"Leeds Centre",53.80378,-1.546472,31.309449,1998
"Leicester Centre",52.631348,-1.133006,33.190156,1998
"Lullington Heath",50.7937,0.18125,57.894118,1998
"Liverpool Centre",53.40845,-2.980249,36.034716,1998
"London Eltham",51.45258,0.070766,36.167149,1998
"London Lewisham",51.44541,-0.020139,19.57226,1998
"Manchester Piccadilly",53.48152,-2.237881,25.587927,1998
"Manchester South",53.369026,-2.24328,34.507872,1998
"Middlesbrough",54.569297,-1.220874,42.556386,1998
"London Marylebone Road",51.52253,-0.154611,12.030004,1998
"Newcastle Centre",54.97825,-1.610528,37.023443,1998
"Norwich Centre",52.63203,1.295019,33.604914,1998
"Nottingham Centre",52.95473,-1.146447,27.835319,1998
"Sandwell Oldbury",52.50431,-2.017629,36.902842,1998
"Narberth",51.782616,-4.69237,64.924844,1998
"Plymouth Centre",50.37167,-4.142361,42.291429,1998
"Port Talbot",51.5798,-3.76169,48.760627,1998
"Reading",51.45352,-0.95518,38.4698,1998
"Redcar",54.610735,-1.0733,46.595246,1998
"Rochester Stoke",51.45617,0.634889,48.055535,1998
"Rotherham Centre",53.43186,-1.354444,31.612609,1998
"Sheffield Centre",53.37772,-1.473306,36.492848,1998
"Sibton",52.2944,1.463497,49.938254,1998
"London Southwark",51.49055,-0.096667,27.576904,1998
"Somerton",51.03572,-2.735253,57.977025,1998
"Southampton Centre",50.908173,-1.395757,36.197081,1998
"Stoke-on-Trent Centre",53.02821,-2.175133,37.152993,1998
"London Sutton",51.36789,-0.165489,34.397874,1998
"Swansea",51.62114,-3.943329,41.122164,1998
"London Teddington",51.42099,-0.339647,42.103883,1998
"Thurrock",51.47707,0.317969,34.054884,1998
"London Wandsworth",51.45696,-0.191164,24.294864,1998
"Sandwell West Bromwich",52.52062,-1.995556,24.062184,1998
"Wicken Fen",52.2985,0.290917,42.137724,1998
"Wolverhampton Centre",52.58818,-2.129008,37.324186,1998
"Yarner Wood",50.5976,-3.71651,63.510371,1998
"Aston Hill",52.50385,-3.034178,65.705991,1999
"Barnsley Gawber",53.56292,-1.510436,54.520306,1999
"London Bexley",51.46603,0.184806,40.169906,1999
"Birmingham East",52.49763,-1.831498,36.980686,1999
"Birmingham Centre",52.479724,-1.908078,40.094471,1999
"Bolton",53.57232,-2.439583,40.589318,1999
"Bottesford",52.93028,-0.814722,50.506934,1999
"Bradford Centre",53.79339,-1.748694,32.382671,1999
"London Brent",51.589769,-0.276223,39.079339,1999
"London Bridge Place",51.49521,-0.141655,33.590393,1999
"Bristol Centre",51.45718,-2.585622,42.544858,1999
"Bury Roadside",53.53911,-2.289611,17.930377,1999
"Cardiff Centre",51.48178,-3.17625,38.935688,1999
"London Bloomsbury",51.52229,-0.125889,23.573786,1999
"Coventry Centre",52.41345,-1.522133,26.885797,1999
"Salford Eccles",53.48481,-2.334139,34.163829,1999
"Exeter Roadside",50.725083,-3.532465,35.580633,1999
"Glazebury",53.46008,-2.472056,39.929859,1999
"Harwell",51.571078,-1.325283,53.73522,1999
"London Haringey",51.58603,-0.126486,35.17115,1999
"London Hillingdon",51.49633,-0.460861,25.578788,1999
"London Hackney",51.55877,-0.056592,30.519433,1999
"High Muffles",54.334497,-0.80882,61.382455,1999
"Hull Centre",53.74479,-0.338322,37.867905,1999
"London N. Kensington",51.52105,-0.213492,35.345874,1999
"Ladybower",53.40337,-1.752006,59.350668,1999
"Leamington Spa",52.28881,-1.533119,42.002326,1999
"Leeds Centre",53.80378,-1.546472,38.6651,1999
"Leicester Centre",52.631348,-1.133006,42.495772,1999
"Lullington Heath",50.7937,0.18125,62.250236,1999
"Liverpool Centre",53.40845,-2.980249,38.876831,1999
"London Eltham",51.45258,0.070766,40.456532,1999
"London Lewisham",51.44541,-0.020139,20.979196,1999
"Manchester Piccadilly",53.48152,-2.237881,28.210243,1999
"Manchester South",53.369026,-2.24328,34.250368,1999
"Middlesbrough",54.569297,-1.220874,48.38144,1999
"London Marylebone Road",51.52253,-0.154611,13.045854,1999
"Newcastle Centre",54.97825,-1.610528,43.097921,1999
"Norwich Centre",52.63203,1.295019,47.574428,1999
"Nottingham Centre",52.95473,-1.146447,32.920624,1999
"Narberth",51.782616,-4.69237,66.155274,1999
"Plymouth Centre",50.37167,-4.142361,47.040567,1999
"Port Talbot",51.5798,-3.76169,54.063251,1999
"Reading",51.45352,-0.95518,43.600282,1999
"Redcar",54.610735,-1.0733,52.584419,1999
"Rochester Stoke",51.45617,0.634889,50.350284,1999
"Rotherham Centre",53.43186,-1.354444,36.873885,1999
"Sheffield Centre",53.37772,-1.473306,38.68963,1999
"Sibton",52.2944,1.463497,52.037197,1999
"London Southwark",51.49055,-0.096667,30.30303,1999
"Somerton",51.03572,-2.735253,60.236395,1999
"Southampton Centre",50.908173,-1.395757,36.561391,1999
"Stoke-on-Trent Centre",53.02821,-2.175133,42.467782,1999
"London Sutton",51.36789,-0.165489,36.473872,1999
"Swansea",51.62114,-3.943329,44.868727,1999
"London Teddington",51.42099,-0.339647,44.132246,1999
"Thurrock",51.47707,0.317969,39.981328,1999
"London Wandsworth",51.45696,-0.191164,27.011283,1999
"Sandwell West Bromwich",52.52062,-1.995556,42.538524,1999
"Wicken Fen",52.2985,0.290917,45.824339,1999
"Wolverhampton Centre",52.58818,-2.129008,39.755831,1999
"Yarner Wood",50.5976,-3.71651,61.717005,1999
"Aston Hill",52.50385,-3.034178,62.975365,2000
"Barnsley Gawber",53.56292,-1.510436,46.940899,2000
"London Bexley",51.46603,0.184806,36.581611,2000
"Birmingham East",52.49763,-1.831498,35.078461,2000
"Birmingham Centre",52.479724,-1.908078,36.860795,2000
"Blackpool",53.79046,-3.029283,40.760941,2000
"Bolton",53.57232,-2.439583,39.699084,2000
"Bottesford",52.93028,-0.814722,45.596698,2000
"Bradford Centre",53.79339,-1.748694,31.429843,2000
"London Brent",51.589769,-0.276223,37.424389,2000
"Bristol Centre",51.45718,-2.585622,38.894277,2000
"Bury Roadside",53.53911,-2.289611,18.942607,2000
"Cardiff Centre",51.48178,-3.17625,38.43539,2000
"London Bloomsbury",51.52229,-0.125889,21.761481,2000
"Coventry Centre",52.41345,-1.522133,38.638111,2000
"Salford Eccles",53.48481,-2.334139,31.669205,2000
"Exeter Roadside",50.725083,-3.532465,45.641723,2000
"Great Dun Fell",54.684233,-2.450799,60.664851,2000
